LICENSENO,Registration_Type,ISSDTTM,NAMEFIRST,NAMELAST,Reporting_Statement
CCL397849,Lobbyist Registration,2019-06-06 12:53:54,John,Stefanini,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1A3P064jAc5kcpyGE9xqw_SJJjmFAT0_9/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1A3P064jAc5kcpyGE9xqw_SJJjmFAT0_9/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1oABGsKK7eHmtCiHGqdmJoTGfXKSFGqp-/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1oABGsKK7eHmtCiHGqdmJoTGfXKSFGqp-/view?usp=sharing</A></P>"
CCL400537,Lobbyist Registration,2019-06-27 16:46:30,Kathleen,MacNeil,
CCL392162,Client Registration,2019-04-19 15:28:25,,Pembroke Real Estate LLC,"<A href=""https://drive.google.com/a/boston.gov/file/d/1wLLjodtP0q5DdejXuX1VyWnU_FJq2Qz8/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1wLLjodtP0q5DdejXuX1VyWnU_FJq2Qz8/view?usp=sharing</A>"
CCL411493,Lobbyist Registration,2019-10-04 11:28:37,,Lynch Associates,
CCL408200,Client Registration,2019-08-29 10:05:39,,"Corolla Contracting, INC",
CCL392456,Lobbyist Registration,2019-04-23 19:01:09,Kelley,Gossett,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1oergVX8466m6tuzzM5BJa_dt0BieoKZk/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1oergVX8466m6tuzzM5BJa_dt0BieoKZk/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Zvd-jzBncdJ7jf9Yznm5glacG2l3oXnJ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Zvd-jzBncdJ7jf9Yznm5glacG2l3oXnJ/view?usp=sharing</A></P>"
CCL403586,Client Registration,2019-07-18 12:20:27,,Crown Castle and its Affiliates ,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1QF0iCbEuvt9mCxje1S3AEAgAER4CKRKO/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1QF0iCbEuvt9mCxje1S3AEAgAER4CKRKO/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1UxSs5O9rD3Bfd4hf88HQQoaeitnOyvyL/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1UxSs5O9rD3Bfd4hf88HQQoaeitnOyvyL/view?usp=sharing</A></P>"
CCL404496,Client Registration,2019-07-30 16:44:05,,Boston Boat Basin LLC ,
CCL392389,Entity Registration,2019-04-23 10:10:13,Roca,Inc.,"<A href=""https://drive.google.com/a/boston.gov/file/d/1q11LBcvJiFIvJ3CVAJlrU4CJAtoTl7F1/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1q11LBcvJiFIvJ3CVAJlrU4CJAtoTl7F1/view?usp=sharing</A>"
CCL393553,Entity Registration,2019-05-03 15:14:52,,Greater Boston Chamber of Commerce,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1XbV5fQ9Txzu6GuMnPezMQIOgwCDv-xj_/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1XbV5fQ9Txzu6GuMnPezMQIOgwCDv-xj_/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1rZBXMoQhUW4r-yowDR5KwZvHU7DJquem/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1rZBXMoQhUW4r-yowDR5KwZvHU7DJquem/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1QWFk6XD0Xcx3UZb8Nxz8Hcck_xtrWD1G/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1QWFk6XD0Xcx3UZb8Nxz8Hcck_xtrWD1G/view?usp=sharing</A></P>"
CCL403430,Lobbyist Registration,2019-07-16 13:57:38,Tanekwah,Hinds,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1fpxd3S2PcnYGHNMlsDnfTeSv9Jq8ZNWx/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1fpxd3S2PcnYGHNMlsDnfTeSv9Jq8ZNWx/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Al8jTZ1QzJv8TQ7kKsR_m8LtQD2AcFdm/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Al8jTZ1QzJv8TQ7kKsR_m8LtQD2AcFdm/view?usp=sharing</A></P>"
CCL402096,Lobbyist Registration,2019-07-08 14:21:05,Melissa,Schrock,
CCL403607,Lobbyist Registration,2019-07-18 14:49:32,Colleen,McGlynn,
CCL393504,Lobbyist Registration,2019-05-03 11:31:02,Brian,Dempsey,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1oedie0owAVZUwM4l1lVYIa8b0Ev-s1nW/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1oedie0owAVZUwM4l1lVYIa8b0Ev-s1nW/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1O3yihHdN2B2frx8wsBZ9qGfTk-x1suJX/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1O3yihHdN2B2frx8wsBZ9qGfTk-x1suJX/view?usp=sharing</A></P>"
CCL392278,Lobbyist Registration,2019-04-22 15:16:37,Matthew,McKenna,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1YpsZEJMtJyy-a3jUQiT9f3LUXb0WalQi/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1YpsZEJMtJyy-a3jUQiT9f3LUXb0WalQi/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/13lOdn18I8rtOsgOBk6wra0au_YkwIb9h/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/13lOdn18I8rtOsgOBk6wra0au_YkwIb9h/view?usp=sharing</A></P>"
CCL393016,Lobbyist Registration,2019-04-29 12:40:13,Sean,O'Donovan,"<A href=""https://drive.google.com/a/boston.gov/file/d/1pf3qQsoCo042ttNDlsAP21Hgay9Txihv/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1pf3qQsoCo042ttNDlsAP21Hgay9Txihv/view?usp=sharing</A>"
CCL402116,Lobbyist Registration,2019-07-08 21:22:16,James,Smith,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1O3ttU1Z3Zc1NrL9WpEnoUIH7b2WIJyym/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1O3ttU1Z3Zc1NrL9WpEnoUIH7b2WIJyym/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1gtPAVzgJGKQWy9DkalXV0BuY-CkmcQi6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1gtPAVzgJGKQWy9DkalXV0BuY-CkmcQi6/view?usp=sharing</A></P>"
CCL403439,Client Registration,2019-07-16 15:20:30,,Boston Red Sox & New England Sports Ventures,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1WD6FORgEADDjf6sSafTPzEG2lQwMyCe3/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1WD6FORgEADDjf6sSafTPzEG2lQwMyCe3/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1DNFO3-vAly6dWuh4LtbiEMmCt9mW_D8Q/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1DNFO3-vAly6dWuh4LtbiEMmCt9mW_D8Q/view?usp=sharing</A></P>"
CCL393762,Client Registration,2019-05-07 17:18:55,,Morgan Stanley & Co. LLC,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1JZ4ur3K_Vt1_H3yubPsT2O9jKteumz21/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1JZ4ur3K_Vt1_H3yubPsT2O9jKteumz21/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1A-ol50ePgB41zwx2ySwV4yEdKkksSZxq/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1A-ol50ePgB41zwx2ySwV4yEdKkksSZxq/view?usp=sharing</A></P>
<P>&nbsp;</P>"
CCL392754,Lobbyist Registration,2019-04-29 12:34:49,Matthew,O'Neil,
CCL413904,Client Registration,2019-10-24 13:49:31,,Macquarie Infrastructure and Real Assets Inc.,
CCL413560,Lobbyist Registration,2019-10-18 15:38:16,,Morgan Sokol,
CCL395486,Lobbyist Registration,2019-05-15 13:00:17,Colleen,McGlynn,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1slgwIFn4uth2PgU39mgchzpUiYLQW4NQ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1slgwIFn4uth2PgU39mgchzpUiYLQW4NQ/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1r0TZ3CnL7NUQ3pro2COt17zvsK1_rhKU/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1r0TZ3CnL7NUQ3pro2COt17zvsK1_rhKU/view?usp=sharing</A></P>"
CCL398217,Lobbyist Registration,2019-06-10 13:18:26,Debra,Hines,"<A href=""https://drive.google.com/a/boston.gov/file/d/14GWe-ZaQ0QmE1kpsuuZ7-vlvUZV9stA0/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/14GWe-ZaQ0QmE1kpsuuZ7-vlvUZV9stA0/view?usp=sharing</A>"
CCL392936,Lobbyist Registration,2019-04-26 13:09:36,Nancy,Sterling,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1rTmyUWHk6l8FVf1H-yJ96n8e60brfpWS/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1rTmyUWHk6l8FVf1H-yJ96n8e60brfpWS/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1dGaR8wE-t7LEbX2vxjtAp9s00srYwbxD/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1dGaR8wE-t7LEbX2vxjtAp9s00srYwbxD/view?usp=sharing</A></P>"
CCL392972,Lobbyist Registration,2019-04-26 16:17:57,Greg ,Vasil,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/11ETHUWhA68Cr5JEsY-3gZWc8QIj0rdaY/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/11ETHUWhA68Cr5JEsY-3gZWc8QIj0rdaY/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/10KRY5z91wf4Df1Qn_ImZ4Qz8SfvMsDtR/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/10KRY5z91wf4Df1Qn_ImZ4Qz8SfvMsDtR/view?usp=sharing</A></P>"
CCL402098,Lobbyist Registration,2019-07-08 14:28:33,Robert,Stewart,
CCL392422,Client Registration,2019-04-23 13:09:06,,"CA, Inc.","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1fpULCHvn00wFrvD17QhIUAi4G9N1bIQz/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1fpULCHvn00wFrvD17QhIUAi4G9N1bIQz/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/19SFEZSr9M2tTJyKQ5OSsNnV5ASq9vQ7E/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/19SFEZSr9M2tTJyKQ5OSsNnV5ASq9vQ7E/view?usp=sharing</A></P>"
CCL402667,Lobbyist Registration,2019-07-11 14:55:10,Christopher,Jeffries,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/10xTb-zugY3f0UfVeTIiqv0mV4V7lFpqN/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/10xTb-zugY3f0UfVeTIiqv0mV4V7lFpqN/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1UBElXyEcyPesfEgXPdspLcA73uTAhw_y/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1UBElXyEcyPesfEgXPdspLcA73uTAhw_y/view?usp=sharing</A></P>"
CCL392305,Entity Registration,2019-04-22 17:41:50,,Murphy Donoghue Partners,"<A href=""https://drive.google.com/a/boston.gov/file/d/1s4EwecMD3nZN79jBhiv7m9vCdwflzf--/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1s4EwecMD3nZN79jBhiv7m9vCdwflzf--/view?usp=sharing</A>"
CCL400199,Lobbyist Registration,2019-06-24 11:48:22,,Jason Wright,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Hf91gB3rMMhIautqiFZUmif1No3_GIkA/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Hf91gB3rMMhIautqiFZUmif1No3_GIkA/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1T3b-CpzH3H4qCD3Nvvu59KpGqIOQsBWC/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1T3b-CpzH3H4qCD3Nvvu59KpGqIOQsBWC/view?usp=sharing</A></P>"
CCL403008,Lobbyist Registration,2019-07-15 11:50:17,Eric ,White,"<A href=""https://drive.google.com/a/boston.gov/file/d/1VPskpQXqOzkvBPVuNMrEfHG-WDMFVD8k/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1VPskpQXqOzkvBPVuNMrEfHG-WDMFVD8k/view?usp=sharing</A>"
CCL392596,Lobbyist Registration,2019-04-24 15:26:19,,scott delaney,"<A href=""https://drive.google.com/a/boston.gov/file/d/1Lgn7LGLcccxV5VBrDpqpxvATc7nfQzEK/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Lgn7LGLcccxV5VBrDpqpxvATc7nfQzEK/view?usp=sharing</A>"
CCL402095,Lobbyist Registration,2019-07-08 14:16:43,Giuliana,DiMambro,
CCL401712,Lobbyist Registration,2019-07-02 13:25:07,Richard,Dimino,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1PyK9bcz5E2FT5XvfvUsWeLBWDSESQI8q/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1PyK9bcz5E2FT5XvfvUsWeLBWDSESQI8q/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1s1paRZM3ktBcA5fKl1mlu9jUCmoF4HO_/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1s1paRZM3ktBcA5fKl1mlu9jUCmoF4HO_/view?usp=sharing</A></P>"
CCL395641,Lobbyist Registration,2019-05-16 17:07:42,Michelle,McGee,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1ap1u-GoQbDrf-KZAZ1xabB1kOxASMOsA/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ap1u-GoQbDrf-KZAZ1xabB1kOxASMOsA/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1wn1_XEpaWRE_-AatPoIVPnnCeFS8KU7u/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1wn1_XEpaWRE_-AatPoIVPnnCeFS8KU7u/view?usp=sharing</A></P>"
CCL392159,Lobbyist Registration,2019-04-19 15:17:40,Megha,Vadula,"<A href=""https://drive.google.com/a/boston.gov/file/d/1LXi3BGTmNlEC1GqIVLZ8h0jT7LhriB3F/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1LXi3BGTmNlEC1GqIVLZ8h0jT7LhriB3F/view?usp=sharing</A>"
CCL408509,Lobbyist Registration,2019-09-03 10:47:17,,Kathleen Brill,"<A href=""https://drive.google.com/a/boston.gov/file/d/1CVGEdPxMFQ2mkOh_8b5L3zIpf3zvw1ce/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1CVGEdPxMFQ2mkOh_8b5L3zIpf3zvw1ce/view?usp=sharing</A>"
CCL398773,Lobbyist Registration,2019-06-14 14:55:01,Dara,Kovel,"<A href=""https://drive.google.com/a/boston.gov/file/d/1EF4vdEEnX0BlCCG-F6qRfkOydjpqVYUI/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1EF4vdEEnX0BlCCG-F6qRfkOydjpqVYUI/view?usp=sharing</A>"
CCL392457,Lobbyist Registration,2019-04-23 19:58:55,Benjamin,Hellerstein,"<A href=""https://drive.google.com/a/boston.gov/file/d/1G8-_ar-0LqMPTGbIJPHaSSvUAQHBuwJM/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1G8-_ar-0LqMPTGbIJPHaSSvUAQHBuwJM/view?usp=sharing</A>"
CCL403427,Lobbyist Registration,2019-07-16 13:32:33,Matthew,Allen,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1rTc2rC7Iq0QdRCUyX1ODW4Hoq-jbfV42/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1rTc2rC7Iq0QdRCUyX1ODW4Hoq-jbfV42/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1DWzjnBR0Ff6xM2ompPkK8q3c4X0VUBEe/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1DWzjnBR0Ff6xM2ompPkK8q3c4X0VUBEe/view?usp=sharing</A></P>"
CCL393564,Lobbyist Registration,2019-05-04 19:24:23,Kamani,Jefferson,"<A href=""https://drive.google.com/a/boston.gov/file/d/1VZsz3EccE5-CggvEcnfyKyd148c59ig0/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1VZsz3EccE5-CggvEcnfyKyd148c59ig0/view?usp=sharing</A>"
CCL392575,Lobbyist Registration,2019-04-24 14:19:59,Jeevan ,Ramapriya,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1B95YKFhin4T6z41Sv6aJKZY2wCxLMULj/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1B95YKFhin4T6z41Sv6aJKZY2wCxLMULj/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P>&nbsp;</P>"
CCL393326,Client Registration,2019-05-01 17:56:37,,Google LLC,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1dLsG5dviJbxAJ_6RMMHKzDGHO73N3nz5/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1dLsG5dviJbxAJ_6RMMHKzDGHO73N3nz5/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1dUfMmPLs_nXoIO6QXDmXIiO2g8C01Ax8/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1dUfMmPLs_nXoIO6QXDmXIiO2g8C01Ax8/view?usp=sharing</A></P>"
CCL393324,Lobbyist Registration,2019-05-01 17:31:08,Elizabeth,Schwab,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1UO99XE19oPpmXyqmmMXGSrCXX-E3miQg/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1UO99XE19oPpmXyqmmMXGSrCXX-E3miQg/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1WP-qdnsZrdwA9-n0PRNNjQS_7FvRNc-l/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1WP-qdnsZrdwA9-n0PRNNjQS_7FvRNc-l/view?usp=sharing</A></P>"
CCL396802,Lobbyist Registration,2019-06-03 09:17:53,James,Oppedisano,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1D0qxXH2pxtib8Z3vlFMlryDcF1DDTxuf/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1D0qxXH2pxtib8Z3vlFMlryDcF1DDTxuf/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1WN-L7LKPcVNAxf-ZUsl7kaQwr4KAFcw-/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1WN-L7LKPcVNAxf-ZUsl7kaQwr4KAFcw-/view?usp=sharing</A></P>"
CCL393543,Lobbyist Registration,2019-05-03 14:40:46,Justin,Kang,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1tYkObEuYp3qBNZ6xFs0ulgcQGkxOFkqF/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1tYkObEuYp3qBNZ6xFs0ulgcQGkxOFkqF/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1jUvjJ09A-FekAU7zuA4y-9tfu9dyS-0X/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1jUvjJ09A-FekAU7zuA4y-9tfu9dyS-0X/view?usp=sharing</A></P>"
CCL393609,Client Registration,2019-05-06 12:21:34,,Bolt Mobility Corporation,"<A href=""https://drive.google.com/a/boston.gov/file/d/1ltWSm0T8bE4tW5kV6VNoBqGCMygJpEJt/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1ltWSm0T8bE4tW5kV6VNoBqGCMygJpEJt/view?usp=sharing</A>"
CCL400380,Lobbyist Registration,2019-06-26 10:58:28,Jonathan,Rothstein,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1YOpu1aOCuADe6KTn7dJclWLHjX4eqF54/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1YOpu1aOCuADe6KTn7dJclWLHjX4eqF54/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1l5j0INdTcLJk3FYg-sto9KArGkAZQXG6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1l5j0INdTcLJk3FYg-sto9KArGkAZQXG6/view?usp=sharing</A></P>"
CCL395642,Client Registration,2019-05-16 17:48:00,,"Rockpoint Group, L.L.C.","<P><A href=""https://drive.google.com/a/boston.gov/file/d/1N4PxAvrk_W70XIsbE4KwTmyVo58mvZ84/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1N4PxAvrk_W70XIsbE4KwTmyVo58mvZ84/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1cqevEfbKHKvVMgp9v25hV-QW-Hc5D96e/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1cqevEfbKHKvVMgp9v25hV-QW-Hc5D96e/view?usp=sharing</A></P>"
CCL392087,Lobbyist Registration,2019-04-18 16:16:36,Paul,Scapicchio,"<P><A href=""https://drive.google.cohttps://drive.google.com/a/boston.gov/file/d/125v5RAusETsTlBPJNCf6zh3sKLWKV5v8/view?usp=sharingm/a/boston.gov/file/d/1BSkYET8jLMkVJZmJtI9IRf0R8dDzCeja/view?usp=sharing"" target=_blank>https://drive.google.cohttps://drive.google.com/a/boston.gov/file/d/125v5RAusETsTlBPJNCf6zh3sKLWKV5v8/view?usp=sharingm/a/boston.gov/file/d/1BSkYET8jLMkVJZmJtI9IRf0R8dDzCeja/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/125v5RAusETsTlBPJNCf6zh3sKLWKV5v8/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/125v5RAusETsTlBPJNCf6zh3sKLWKV5v8/view?usp=sharing</A></P>
<P>&nbsp;</P>"
CCL403679,Lobbyist Registration,2019-07-19 13:04:43,,Margaret Horan,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1xyJAwOCKfzHyOCmZT4TB18QINKP9vmTv/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1xyJAwOCKfzHyOCmZT4TB18QINKP9vmTv/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1w5P9POFtWY7VzOe14dXT_PMSaimU0Qbn/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1w5P9POFtWY7VzOe14dXT_PMSaimU0Qbn/view?usp=sharing</A></P>"
CCL392406,Lobbyist Registration,2019-04-23 11:46:28,John,Murphy,"<P><A href=""https://drihttps://drive.google.com/a/boston.gov/file/d/1teAKrpMOhvAYgDVRUpXpTPd4qHY6GFwp/view?usp=sharingve.google.com/a/boston.gov/file/d/1oa6Z3ctFChXny7RNqa0x0K5ff2jeQ1hm/view?usp=sharing"" target=_blank>https://drihttps://drive.google.com/a/boston.gov/file/d/1teAKrpMOhvAYgDVRUpXpTPd4qHY6GFwp/view?usp=sharingve.google.com/a/boston.gov/file/d/1oa6Z3ctFChXny7RNqa0x0K5ff2jeQ1hm/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1teAKrpMOhvAYgDVRUpXpTPd4qHY6GFwp/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1teAKrpMOhvAYgDVRUpXpTPd4qHY6GFwp/view?usp=sharing</A></P>
<P>&nbsp;</P>"
CCL393761,Client Registration,2019-05-07 17:15:37,,Morgan Stanley Investment Management Inc.,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Z0Ivk1g_p5b5EIWi1FqJBPoihMVflx2L/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Z0Ivk1g_p5b5EIWi1FqJBPoihMVflx2L/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1vlNNe_dbiVERni1ftJG_MkjNx2g5vGfW/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1vlNNe_dbiVERni1ftJG_MkjNx2g5vGfW/view?usp=sharing</A></P>"
CCL393649,Lobbyist Registration,2019-05-06 17:44:12,Andrew,Kalloch,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1BoKXRo3ZdHzT2bnVB--cC4fJDtrXnnHL/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1BoKXRo3ZdHzT2bnVB--cC4fJDtrXnnHL/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1obZ0ygGkXheorPobHp25NxEDhSYTq2Qa/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1obZ0ygGkXheorPobHp25NxEDhSYTq2Qa/view?usp=sharing</A></P>"
CCL392120,Lobbyist Registration,2019-04-19 10:40:51,Peter,D'Agostino,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1xxD1lLefomMoZgCPYxvAdA9apfeuG2Fa/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1xxD1lLefomMoZgCPYxvAdA9apfeuG2Fa/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1jRvBm_sdfK6MXHKwDwe_IDyDRQCkuhv2/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1jRvBm_sdfK6MXHKwDwe_IDyDRQCkuhv2/view?usp=sharing</A></P>
<P>&nbsp;</P>
<P>&nbsp;</P>"
